Month,LocationName,PeakOffPeak,Book,TotalVolume,TotalTradeValue,ForecastCost
2025-04-01 00:00:00+02:00,United Kingdom,Peak,Asset Backed,4607165.84,548852.64,277996386.7856
2025-05-01 00:00:00+02:00,France,OffPeak,Asset Backed,2265610.96,221524.8,110063380.4368
2025-05-01 00:00:00+02:00,France,Peak,Asset Backed,2286447.36,257366.4,129047088.99839999
2025-05-01 00:00:00+02:00,Germany,OffPeak,Asset Backed,3033406.8,296143.68,147362902.34399998
2025-05-01 00:00:00+02:00,Germany,Peak,Asset Backed,3053183.68,344058.24,172321686.8992
2025-05-01 00:00:00+02:00,Spain,OffPeak,Asset Backed,3334207.92,325874.64,161975820.7536
2025-05-01 00:00:00+02:00,Spain,Peak,Asset Backed,3354075.57,378599.51999999996,189304025.1708
2025-05-01 00:00:00+02:00,Switzerland,OffPeak,Asset Backed,2820592.71,271659.36,137024393.8518
2025-05-01 00:00:00+02:00,Switzerland,Peak,Asset Backed,2790622.48,315612.48,157502732.7712
2025-05-01 00:00:00+02:00,United Kingdom,OffPeak,Asset Backed,5264371.18,510090.0,255743151.9244
2025-05-01 00:00:00+02:00,United Kingdom,Peak,Asset Backed,5276754.68,592620.0,297820034.1392
2025-06-01 00:00:00+02:00,France,OffPeak,Asset Backed,2899959.68,217023.36000000002,107472505.74080001
2025-06-01 00:00:00+02:00,France,Peak,Asset Backed,2906152.35,318156.48,157891257.1755
2025-06-01 00:00:00+02:00,Germany,OffPeak,Asset Backed,2901463.32,214799.76,107528230.6392
2025-06-01 00:00:00+02:00,Germany,Peak,Asset Backed,2910124.76,314896.68,158107078.2108
2025-06-01 00:00:00+02:00,Spain,OffPeak,Asset Backed,3449458.41,256603.44,127836928.6746
2025-06-01 00:00:00+02:00,Spain,Peak,Asset Backed,3406935.86,376180.92,185098825.2738
2025-06-01 00:00:00+02:00,Switzerland,OffPeak,Asset Backed,2567397.49,190784.88,95147750.97940001
2025-06-01 00:00:00+02:00,Switzerland,Peak,Asset Backed,2582980.44,279690.83999999997,140333327.3052
2025-06-01 00:00:00+02:00,United Kingdom,OffPeak,Asset Backed,4778091.67,353552.4,177076077.29020002
2025-06-01 00:00:00+02:00,United Kingdom,Peak,Asset Backed,4805661.31,518308.2,261091578.9723
2025-07-01 00:00:00+02:00,France,OffPeak,Asset Backed,2815722.16,212400.72,106265354.31840001
2025-07-01 00:00:00+02:00,France,Peak,Asset Backed,2818255.03,367789.8,184172966.21049997
2025-07-01 00:00:00+02:00,Germany,OffPeak,Asset Backed,2640877.7,200625.84,99666724.398
2025-07-01 00:00:00+02:00,Germany,Peak,Asset Backed,2617549.13,347400.6,171056835.64549997
2025-07-01 00:00:00+02:00,Spain,OffPeak,Asset Backed,4741738.34,354152.16000000003,178953204.95160002
2025-07-01 00:00:00+02:00,Spain,Peak,Asset Backed,4679560.08,613244.3999999999,305809251.228
2025-07-01 00:00:00+02:00,Switzerland,OffPeak,Asset Backed,3865993.68,295730.64,145902601.4832
2025-07-01 00:00:00+02:00,Switzerland,Peak,Asset Backed,3936820.84,512082.6,257271241.89399996
2025-07-01 00:00:00+02:00,United Kingdom,OffPeak,Asset Backed,4292698.03,326073.60000000003,162006423.6522
2025-07-01 00:00:00+02:00,United Kingdom,Peak,Asset Backed,4298935.37,564624.0,280935426.4295
2025-08-01 00:00:00+02:00,France,OffPeak,Asset Backed,2483040.82,235459.56,117969269.3582
2025-08-01 00:00:00+02:00,France,Peak,Asset Backed,2474905.13,290718.95999999996,145177934.9258
2025-08-01 00:00:00+02:00,Germany,OffPeak,Asset Backed,2873963.62,273087.48,136542011.5862
2025-08-01 00:00:00+02:00,Germany,Peak,Asset Backed,2893506.46,337177.68,169733088.9436
2025-08-01 00:00:00+02:00,Spain,OffPeak,Asset Backed,4782981.25,449824.68,227239439.1875
2025-08-01 00:00:00+02:00,Spain,Peak,Asset Backed,4726661.99,555392.88,277265992.3334
2025-08-01 00:00:00+02:00,Switzerland,OffPeak,Asset Backed,3462859.06,336370.8,164520433.9406
2025-08-01 00:00:00+02:00,Switzerland,Peak,Asset Backed,3507623.37,415312.8,205757186.88419998
2025-08-01 00:00:00+02:00,United Kingdom,OffPeak,Asset Backed,4477036.69,424169.27999999997,212704013.1419
2025-08-01 00:00:00+02:00,United Kingdom,Peak,Asset Backed,4472681.67,523716.48,262367506.7622
2025-09-01 00:00:00+02:00,France,OffPeak,Asset Backed,2160017.94,187922.16,93701578.2372
2025-09-01 00:00:00+02:00,France,Peak,Asset Backed,2183854.2,237350.28,119653371.618
2025-09-01 00:00:00+02:00,Germany,OffPeak,Asset Backed,2654463.23,227484.72,115150614.9174
2025-09-01 00:00:00+02:00,Germany,Peak,Asset Backed,2624589.23,287318.76,143801243.9117
2025-09-01 00:00:00+02:00,Spain,OffPeak,Asset Backed,4848331.73,423215.28,210320630.4474
2025-09-01 00:00:00+02:00,Spain,Peak,Asset Backed,4819019.41,534531.24,264034073.4739
2025-09-01 00:00:00+02:00,Switzerland,OffPeak,Asset Backed,3625375.73,312856.56,157268799.1674
2025-09-01 00:00:00+02:00,Switzerland,Peak,Asset Backed,3615290.48,395145.48,198081765.3992
2025-09-01 00:00:00+02:00,United Kingdom,OffPeak,Asset Backed,4666173.51,409680.72000000003,202418606.86380002
2025-09-01 00:00:00+02:00,United Kingdom,Peak,Asset Backed,4673753.88,517436.76,256074975.08519998
2025-10-01 00:00:00+02:00,France,OffPeak,Asset Backed,2466263.45,207058.23,102769197.9615
2025-10-01 00:00:00+02:00,France,Peak,Asset Backed,2469043.05,284028.36,141500857.19550002
2025-10-01 00:00:00+02:00,Germany,OffPeak,Asset Backed,2930716.03,246186.36000000002,122122936.9701
2025-10-01 00:00:00+02:00,Germany,Peak,Asset Backed,2940743.83,337670.52,168534028.8973
2025-10-01 00:00:00+02:00,Spain,OffPeak,Asset Backed,3971163.48,329943.06,165478382.2116
2025-10-01 00:00:00+02:00,Spain,Peak,Asset Backed,3932705.1,452519.76,225383329.28100002
2025-10-01 00:00:00+02:00,Switzerland,OffPeak,Asset Backed,3048572.35,253186.92,127034009.82450001
2025-10-01 00:00:00+02:00,Switzerland,Peak,Asset Backed,3002682.7,347298.60000000003,172083745.537
2025-10-01 00:00:00+02:00,United Kingdom,OffPeak,Asset Backed,3377536.62,279772.38,140741950.95540002
2025-10-01 00:00:00+02:00,United Kingdom,Peak,Asset Backed,3335990.38,383747.76,191185608.6778
2025-11-01 00:00:00+01:00,France,OffPeak,Asset Backed,2336740.47,198385.2,99054428.5233
2025-11-01 00:00:00+01:00,France,Peak,Asset Backed,2353830.26,251362.80000000002,126424223.26460001
2025-11-01 00:00:00+01:00,Germany,OffPeak,Asset Backed,2706488.31,228906.0,114728039.46090001
2025-11-01 00:00:00+01:00,Germany,Peak,Asset Backed,2665477.57,290034.0,143162800.2847
2025-11-01 00:00:00+01:00,Spain,OffPeak,Asset Backed,4157204.93,352515.24,176223916.9827
2025-11-01 00:00:00+01:00,Spain,Peak,Asset Backed,4144456.34,446652.36,222598750.0214
2025-11-01 00:00:00+01:00,Switzerland,OffPeak,Asset Backed,3107136.81,260444.16,131711529.3759
2025-11-01 00:00:00+01:00,Switzerland,Peak,Asset Backed,3047389.35,329994.24,163675281.9885
2025-11-01 00:00:00+01:00,United Kingdom,OffPeak,Asset Backed,3493845.98,294017.04,148104131.0922
2025-11-01 00:00:00+01:00,United Kingdom,Peak,Asset Backed,3458296.99,372532.56,185745131.33290002
2025-12-01 00:00:00+01:00,France,OffPeak,Asset Backed,2451582.4,191830.80000000002,95587197.77600001
2025-12-01 00:00:00+01:00,France,Peak,Asset Backed,2480670.76,274978.8,138644688.7764
2025-12-01 00:00:00+01:00,Germany,OffPeak,Asset Backed,2827663.35,220839.36000000002,110250594.01650001
2025-12-01 00:00:00+01:00,Germany,Peak,Asset Backed,2847198.03,316560.96,159129897.8967
2025-12-01 00:00:00+01:00,Spain,OffPeak,Asset Backed,3933600.52,305057.76,153371084.2748
2025-12-01 00:00:00+01:00,Spain,Peak,Asset Backed,3932853.56,437283.36,219807185.4684
2025-12-01 00:00:00+01:00,Switzerland,OffPeak,Asset Backed,2997081.58,232536.36000000002,116856210.80420001
2025-12-01 00:00:00+01:00,Switzerland,Peak,Asset Backed,2962726.07,333327.96,165586760.0523
2025-12-01 00:00:00+01:00,United Kingdom,OffPeak,Asset Backed,3345455.73,261077.04,130439318.91270001
2025-12-01 00:00:00+01:00,United Kingdom,Peak,Asset Backed,3350467.45,374239.44,187257625.7805
